"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
27,0,-30,0.935567069715311
27,0,-28,1.1183772042131
27,0,-26,1.32513295020748
27,0,-24,1.55322933401801
27,0,-22,1.79014629257644
27,0,-20,2.01974094873243
27,0,-18,2.22811537230054
27,0,-16,2.4069587660285
27,0,-14,2.55415137551685
27,0,-12,2.67245564148826
27,0,-10,2.76730573248084
27,0,-8,2.84453492004581
27,0,-6,2.90863916628098
27,0,-4,2.96190048974547
27,0,-2,3.00437782266374
27,0,0,3.03448956251442
27,0,2,3.04977457877787
27,0,4,3.04747622212037
27,0,6,3.02479166694262
27,0,8,2.97885571568571
27,0,10,2.90668568888917
27,0,12,2.80535166344088
27,0,14,2.67255364804254
27,0,16,2.50761797753132
27,0,18,2.31270982423342
27,0,20,2.09382541390407
27,0,22,1.86091768705382
27,0,24,1.62645826098289
27,0,26,1.40211721850526
27,0,28,1.19424217373068
27,0,30,1.00004706808206
27,0,32,0.806778551025854
27,0,34,0.594879066541171
27,0,36,0.344185310738611
27,0,38,0.0411694126399439
27,0,40,-0.314463676643608
27,0,42,-0.705143521334571
27,0,44,-1.09497797700161
27,0,46,-1.43724326610579
27,0,48,-1.69202471768674
27,0,50,-1.84770053181457
27,0,52,-1.93111876459588
27,0,54,-1.9974402889385
27,0,56,-2.10822079624647
27,0,58,-2.31262732103114
27,0,60,-2.63780227997189
27,0,62,-3.08573820808337
27,0,64,-3.63296062486274
27,0,66,-4.23277459726824
27,0,68,-4.82370890118011
27,0,70,-5.3478762228658
27,0,72,-5.77492338997852
27,0,74,-6.11630463500854
27,0,76,-6.41807745348313
27,0,78,-6.73918828490314
27,0,80,-7.13158702339403
27,0,82,-7.62979585343239
27,0,84,-8.24693087659018
27,0,86,-8.97147973185395
27,0,88,-9.76210397809781
27,0,90,-10.5441661410199
27,0,92,-11.2209323120061
27,0,94,-11.7133073290657
27,0,96,-12.0126138736214
27,0,98,-12.1957656548961
27,0,100,-12.3850681609748
27,0,102,-12.6973408767997
27,0,104,-13.2195662786173
27,0,106,-14.0065279245364
27,0,108,-15.0811631099668
